"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","law","nation","will","can","world"
"2","state","great","govern","must","will"
"3","right","time","upon","peopl","peac"
"4","constitut","year","countri","make","freedom"
"5","secur","now","may","american","new"
"6","govern","faith","peopl","free","nation"
"7","congress","good","shall","need","america"
"8","unit","union","power","work","one"
"9","polici","histori","public","men","hope"
"10","execut","justic","parti","life","war"
"11","busi","today","everi","continu","live"
"12","administr","much","best","among","let"
"13","respect","presid","offic","without","know"
"14","import","act","question","just","never"
"15","protect","day","purpos","equal","seek"
"16","made","god","polit","industri","help"
"17","part","futur","interest","better","forc"
"18","citizen","liberti","duti","product","respons"
"19","elect","caus","condit","full","progress"
"20","order","citizen","servic","use","human"
